Uniprot ID	kcat	unit	KEGG ID	Substrates	Products	PMID	substrate_IDs	products_IDs	complete
P20932	2.8	s^(-1)	R07664	(S)-Mandelate;Riboflavin-5-phosphate	Reduced FMN;alpha-Oxo-benzeneacetic acid	15311930	['C01984', 'C00061']	['C02137', 'C01847']	True
P20932	0.05	s^(-1)	R07664	(S)-Mandelate;Riboflavin-5-phosphate	Reduced FMN;alpha-Oxo-benzeneacetic acid	15311930	['C01984', 'C00061']	['C02137', 'C01847']	True
P20932	0.11	s^(-1)	R07664	Riboflavin-5-phosphate;(S)-Mandelate	alpha-Oxo-benzeneacetic acid;Reduced FMN	15311930	['C01984', 'C00061']	['C02137', 'C01847']	True
P20932	205.0	s^(-1)	R07664	Riboflavin-5-phosphate;(S)-Mandelate	alpha-Oxo-benzeneacetic acid;Reduced FMN	15311930	['C01984', 'C00061']	['C02137', 'C01847']	True
P20932	2.3	s^(-1)	R07664	Riboflavin-5-phosphate;(S)-Mandelate	alpha-Oxo-benzeneacetic acid;Reduced FMN	15311930	['C01984', 'C00061']	['C02137', 'C01847']	True
P20932	1.2	s^(-1)		O2;Reduced FMN	Riboflavin-5-phosphate;H2O2	15311930	['InChI=1S/O2/c1-2', 'InChI=1S/C17H23N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,18,22-24H,5-6H2,1-2H3,(H2,27,28,29)(H2,19,20,25,26)/t11-,12+,14-/m0/s1']	['InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1', 'InChI=1S/H2O2/c1-2/h1-2H']	True
P20932	3.4	s^(-1)		O2;Reduced FMN	Riboflavin-5-phosphate;H2O2	15311930	['InChI=1S/O2/c1-2', 'InChI=1S/C17H23N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,18,22-24H,5-6H2,1-2H3,(H2,27,28,29)(H2,19,20,25,26)/t11-,12+,14-/m0/s1']	['InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1', 'InChI=1S/H2O2/c1-2/h1-2H']	True
P20932	0.61	s^(-1)		Reduced FMN;O2	Riboflavin-5-phosphate;H2O2	15311930	['InChI=1S/C17H23N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,18,22-24H,5-6H2,1-2H3,(H2,27,28,29)(H2,19,20,25,26)/t11-,12+,14-/m0/s1', 'InChI=1S/O2/c1-2']	['InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1', 'InChI=1S/H2O2/c1-2/h1-2H']	True
P20932	0.07	s^(-1)		Reduced FMN;O2	H2O2;Riboflavin-5-phosphate	15311930	['InChI=1S/C17H23N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,18,22-24H,5-6H2,1-2H3,(H2,27,28,29)(H2,19,20,25,26)/t11-,12+,14-/m0/s1', 'InChI=1S/O2/c1-2']	['InChI=1S/H2O2/c1-2/h1-2H', 'InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1']	True
P20932	0.05	s^(-1)		O2;Reduced FMN	Riboflavin-5-phosphate;H2O2	15311930	['InChI=1S/O2/c1-2', 'InChI=1S/C17H23N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,18,22-24H,5-6H2,1-2H3,(H2,27,28,29)(H2,19,20,25,26)/t11-,12+,14-/m0/s1']	['InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1', 'InChI=1S/H2O2/c1-2/h1-2H']	True
P0ABQ4	6.18	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	14.5	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	11.58	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	13.12	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	11.9	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	13.98	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	14.08	s^(-1)	R00939	Dihydrofolate;NADPH;H+	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	15.0	s^(-1)	R00939	NADPH;H+;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	13.47	s^(-1)	R00939	NADPH;Dihydrofolate;H+	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	9.57	s^(-1)	R00939	H+;Dihydrofolate;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	13.53	s^(-1)	R00939	NADPH;H+;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	9.53	s^(-1)	R00939	Dihydrofolate;H+;NADPH	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.8	s^(-1)	R00939	H+;NADPH;Dihydrofolate	5,6,7,8-Tetrahydrofolate;NADP+	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	4.83	s^(-1)	R00939	Dihydrofolate;H+;NADPH	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
P0ABQ4	3.7	s^(-1)	R00939	H+;NADPH;Dihydrofolate	NADP+;5,6,7,8-Tetrahydrofolate	15740745	['C00101', 'C00006']	['C00415', 'C00005', 'C00080']	True
