index	ID	EC	kcat	ORGANISM	PMID	kcat_new	correct reaction ID	comment	new	enzyme	correct kcat	UNIPROT_list	LITERATURE	checked	new enzyme	#UIDs	substrate_ID_list	product_ID_list
56.0	893.0	1.1.1.363	1125.0	Leuconostoc mesenteroides	1304341.0	-	1485		False		1125.0	['P11411']	723718.0	True	False	1	['InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1', 'InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h1,3-6,8-11H,2H2,(H2,12,13,14)/t3-,4+,5+,6+/m0/s1']	['InChI=1S/p+1', 'InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1', 'InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-5,7-9H,1H2,(H2,11,12,13)/t2-,3-,4+,5-/m1/s1']
57.0	11498.0	3.6.1.1	2200.0	Thermoplasma acidophilum	1327774.0	-	26801		False		2200.0	['P37981']	727403.0	True	False	1	['InChI=1S/H2O/h1H2', 'InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)']	['InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3']
79.0	6250.0	2.5.1.7	4.75	Escherichia coli	1512209.0	-	12872		False		4.75	['P0A749']	637593.0	True	False	1	['InChI=1S/C3H5O6P/c1-2(3(4)5)9-10(6,7)8/h1H2,(H,4,5)(H2,6,7,8)', 'InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1']	['InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3', 'InChI=1S/C20H29N3O19P2/c1-7(18(30)31)38-16-12(21-8(2)25)19(40-9(5-24)14(16)28)41-44(35,36)42-43(33,34)37-6-10-13(27)15(29)17(39-10)23-4-3-11(26)22-20(23)32/h3-4,9-10,12-17,19,24,27-29H,1,5-6H2,2H3,(H,21,25)(H,30,31)(H,33,34)(H,35,36)(H,22,26,32)/t9-,10-,12-,13-,14-,15-,16-,17-,19-/m1/s1']
81.0	1916.0	1.12.98.2	1462.0	Methanothermobacter marburgensis	1521540.0	-	3791		False		1462.0	['P32440']	727402.0	True	False	1	['InChI=1S/p+1', 'InChI=1S/C31H45N6O16P/c1-13-22-14(2)36(12-37(22)23-27(33-13)34-31(32)35-28(23)45)16-5-3-15(4-6-16)9-17(38)24(42)18(39)10-50-30-26(44)25(43)20(52-30)11-51-54(48,49)53-19(29(46)47)7-8-21(40)41/h3-6,13-14,17-20,22,24-26,30,38-39,42-44H,7-12H2,1-2H3,(H,40,41)(H,46,47)(H,48,49)(H4,32,33,34,35,45)/t13-,14+,17-,18+,19-,20+,22+,24-,25+,26+,30-/m0/s1']	['InChI=1S/H2/h1H', 'InChI=1S/C31H43N6O16P/c1-13-22-14(2)36(12-37(22)23-27(33-13)34-31(32)35-28(23)45)16-5-3-15(4-6-16)9-17(38)24(42)18(39)10-50-30-26(44)25(43)20(52-30)11-51-54(48,49)53-19(29(46)47)7-8-21(40)41/h3-6,12-14,17-20,22,24-26,30,38-39,42-44H,7-11H2,1-2H3,(H6-,32,33,34,35,40,41,45,46,47,48,49)/p+1/t13-,14+,17-,18+,19-,20+,22+,24-,25+,26+,30-/m0/s1']
100.0	12669.0	4.1.3.40	0.82	Escherichia coli	1644758.0	-	28554		False		0.82	['P26602']	644233.0	True	False	1	['InChI=1S/C10H10O6/c1-5(9(12)13)16-8-4-6(10(14)15)2-3-7(8)11/h2-4,7-8,11H,1H2,(H,12,13)(H,14,15)/t7-,8-/m1/s1']	['InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1', 'InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1']
112.0	8544.0	3.1.3.48	6.1	Rattus norvegicus	1918076.0	-	17092		False		6.1	['Q64604']	95013.0	True	False	1	['InChI=1S/C6H6NO6P/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12/h1-4H,(H2,10,11,12)', 'InChI=1S/H2O/h1H2']	['InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3', 'InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H']
117.0	1526.0	1.1.3.4	920.0	Aspergillus niger	1932088.0	-	2560		False		920.0	['P13006']	727055.0	True	False	1	['InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1', 'InChI=1S/O2/c1-2']	['InChI=1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1', 'InChI=1S/H2O2/c1-2/h1-2H']
118.0	1525.0	1.1.3.4	815.0	Aspergillus niger	1932088.0	-	2560		False		815.0	['P13006']	727055.0	True	False	1	['InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6-/m1/s1', 'InChI=1S/O2/c1-2']	['InChI=1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1', 'InChI=1S/H2O2/c1-2/h1-2H']
122.0	4102.0	1.5.98.2	275.0	Methanopyrus kandleri	1953299.0	-	8133		False		275.0	['Q8TXY4']	726826.0	True	False	1	['InChI=1S/C29H38N5O18P/c1-12(25(42)31-17(28(46)47)4-6-21(38)30-16(27(44)45)5-7-22(39)40)52-53(49,50)51-11-20(37)23(41)19(36)10-34-18-9-14(35)3-2-13(18)8-15-24(34)32-29(48)33-26(15)43/h2-3,9,12,16-17,19-20,23,35-37,41H,4-8,10-11H2,1H3,(H,30,38)(H,31,42)(H,39,40)(H,44,45)(H,46,47)(H,49,50)(H2,32,33,43,48)/t12-,16-,17-,19-,20+,23-/m0/s1', 'InChI=1S/C31H45N6O16P/c1-13-22-14(2)36(12-37(22)23-27(33-13)34-31(32)35-28(23)45)16-5-3-15(4-6-16)9-17(38)24(42)18(39)10-50-30-26(44)25(43)20(52-30)11-51-54(48,49)53-19(29(46)47)7-8-21(40)41/h3-6,13-14,17-20,22,24-26,30,38-39,42-44H,7-12H2,1-2H3,(H,40,41)(H,46,47)(H,48,49)(H4,32,33,34,35,45)/t13-,14+,17-,18+,19-,20+,22+,24-,25+,26+,30-/m0/s1']	['InChI=1S/C29H36N5O18P/c1-12(25(42)31-17(28(46)47)4-6-21(38)30-16(27(44)45)5-7-22(39)40)52-53(49,50)51-11-20(37)23(41)19(36)10-34-18-9-14(35)3-2-13(18)8-15-24(34)32-29(48)33-26(15)43/h2-3,8-9,12,16-17,19-20,23,36-37,41H,4-7,10-11H2,1H3,(H,30,38)(H,31,42)(H,39,40)(H,44,45)(H,46,47)(H,49,50)(H2,32,33,43,48)/t12-,16-,17-,19-,20+,23-/m0/s1', 'InChI=1S/C31H47N6O16P/c1-13(22-14(2)34-27-23(37(22)3)28(45)36-31(32)35-27)33-16-6-4-15(5-7-16)10-17(38)24(42)18(39)11-50-30-26(44)25(43)20(52-30)12-51-54(48,49)53-19(29(46)47)8-9-21(40)41/h4-7,13-14,17-20,22,24-26,30,33,38-39,42-44H,8-12H2,1-3H3,(H,40,41)(H,46,47)(H,48,49)(H4,32,34,35,36,45)/t13-,14+,17+,18-,19+,20-,22+,24+,25-,26-,30+/m1/s1']
147.0	7095.0	2.7.2.16	108.0	Methanothermus fervidus	2226838.0	-	14261		False		108.0	['Q49156']	753559.0	True	False	1	['InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1', 'InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1']	['InChI=1S/C3H8O10P2/c4-3(5)2(13-15(9,10)11)1-12-14(6,7)8/h2H,1H2,(H,4,5)(H2,6,7,8)(H2,9,10,11)/t2-/m1/s1', 'InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1']
