rxn_id	kegg_reaction_id	ec_code	substrates	products
MAR03905	R00754	1.1.1.1	C00469;C00003	C00084;C00080;C00004
MAR03907	R00746	1.1.1.2	C00469;C00006	C00084;C00080;C00005
MAR04097	R00235	6.2.1.1	C00033;C00002;C00010	C00024;C00020;C00013
MAR04099	R00235	6.2.1.1	C00033;C00002;C00010	C00024;C00020;C00013
MAR04108	R00236	6.2.1.1	C05993;C00010	C00024;C00020;C00080
MAR04133	R00316	6.2.1.1	C00033;C00002;C00080	C05993;C00013
MAR04281	R00703	1.1.1.27	C00080;C00004;C00022	C00186;C00003
MAR04388	R00703	1.1.1.27	C00080;C00004;C00022	C00186;C00003
MAR04283	R00711	1.2.1.5	C00084;C00001;C00006	C00033;C00080;C00005
MAR08357	R00710	1.2.1.3	C00084;C00001;C00003	C00033;C00080;C00004
MAR04379	R00756	2.7.1.11	C00002;C00085	C00008;C00354;C00080
MAR04301	R00769	2.7.1.11	C00085;C00075	C00354;C00080;C00015
MAR04355	R01829	4.1.2.13	C00111;C00279	C00447
MAR04358	R00200	2.7.1.40	C00008;C00080;C00074	C00002;C00022
MAR04360	R00205	1.2.1.49	C00001;C00546;C00006	C00080;C00005;C00022
MAR04363	R00658	4.2.1.11	C00631	C00001;C00074
MAR04365	R01518	5.4.2.11	C00631	C00197
MAR04368	R01512	2.7.2.3	C00236;C00008	C00197;C00002
MAR04370	R01515	3.6.1.7	C00236;C00001	C00197;C00080;C00009
MAR04371	R01662	5.4.2.1	C00236	C01159;C00080
MAR04372	R01516	3.1.3.13	C01159;C00001	C00197;C00009
MAR04373	R01061	1.2.1.12	C00236;C00080;C00004	C00118;C00003;C00009
MAR04375	R01068	4.1.2.13	C00111;C00118	C00354
MAR04377	R00762	3.1.3.11	C00354;C00001	C00085;C00009
MAR04381	R00771	5.3.1.9	C00085	C00092
MAR04391	R01015	5.3.1.1	C00111	C00118
MAR04394	R00299	2.7.1.1	C00002;C00031	C00008;C00092;C00080
MAR04396	R08639	5.4.2.2	C00103	C00092
MAR04521	R00303	3.1.3.9	C00092;C00001	C00031;C00009
MAR06412	R02569	2.3.1.12	C00010;C01136	C00024;C00579
MAR07745	R01602	5.1.3.3	C00221	C00031
MAR07747	R09086	2.7.1.147	C00008;C00031	C00020;C00092;C00080
MAR03989	R00028	3.2.1.20	C00001;C00208	C00031
MAR04122	R00286	1.1.1.22	C00001;C00003;C00029	C00080;C00004;C00167
MAR04837	R00010	3.2.1.28	C00001;C01083	C00031
MAR05395	R03681	2.4.1.186	C01702;C00029	MAM01995c;C00080;C00015
MAR08587	R00028	3.2.1.20	C00001;C00208	C00031
MAR08589	R00028	3.2.1.20	C00001;C00208	C00031
MAR08583	R01790	3.2.1.3	C00001;MAM02936e	C00031;MAM02937e
MAR08585	R01660	2.7.1.106	C00236;C00103	C00197;C01231
MAR03944	R00289	2.7.7.9	C00103;C00080;C00075	C00013;C00029
MAR04128	R00291	5.1.3.2	C00052	C00029
MAR04131	R00955	2.7.7.12	C00103;C00052	C00446;C00029
MAR04132	R00955	2.7.7.12	C03384;C00029	C00103;C00052
MAR04303	R00801	3.2.1.10	C00001;C00089	C02336;C00031
MAR04414	R01092	2.7.1.6	C00002;C00984	C00008;C03384;C00080
MAR04415	R01100	3.2.1.23	C00001;C00243	C00984;C00031
MAR04416	R01104	3.2.1.22	C05401;C00001	C00984;C00116
MAR04831	R01680	1.1.99.13	C00243;C00003	C05403;C00080;C00004
MAR04832	R04783	3.2.1.23	C05394;C00031	C05403;C00001
MAR07674	R00503	2.4.1.22	C00031;C00052	C00080;C00243;C00015
MAR08761	R02927	2.7.1.3	C00002;C00795	C00008;C01097;C00080
MAR08764	R06114	3.2.1.108	C00001;C00243	C00984;C00031
MAR08766	R01095	1.1.1.21	C00984;C00080;C00005	C01697;C00006
