RxnID	EC_Code	Uniprot	chebi_Substrate	chebi_Product
MAR03905	1.1.1.1	Q8IWW8	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	P00325	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	P07327	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	P28332	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	Q8N4Q0	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	P40394	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	P00326	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	P11766	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.1	P08319	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	Q8IWW8	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	P00325	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	P07327	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	P28332	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	Q8N4Q0	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	P40394	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	P00326	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	P11766	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03905	1.1.1.71	P08319	CHEBI:16236;CHEBI:15846	CHEBI:15343;CHEBI:24636;CHEBI:16908
MAR03907	1.1.1.2	P14550	CHEBI:16236;CHEBI:18009	CHEBI:15343;CHEBI:24636;CHEBI:16474
MAR04097	6.2.1.1	Q9NR19	CHEBI:15366;CHEBI:15422;CHEBI:1146900	CHEBI:15351;CHEBI:16027;CHEBI:18361
MAR04099	6.2.1.1	Q9NUB1	CHEBI:15366;CHEBI:15422;CHEBI:1146900	CHEBI:15351;CHEBI:16027;CHEBI:18361
MAR04099	6.2.1.1	Q9H6R3	CHEBI:15366;CHEBI:15422;CHEBI:1146900	CHEBI:15351;CHEBI:16027;CHEBI:18361
MAR04108	6.2.1.1	Q9NR19	CHEBI:37666;CHEBI:1146900	CHEBI:15351;CHEBI:16027;CHEBI:24636
MAR04133	6.2.1.1	Q9NR19	CHEBI:15366;CHEBI:15422;CHEBI:24636	CHEBI:37666;CHEBI:18361
MAR04281	1.1.1.27	P07195	CHEBI:24636;CHEBI:16908;CHEBI:32816	CHEBI:422;CHEBI:15846
MAR04281	1.1.1.27	P00338	CHEBI:24636;CHEBI:16908;CHEBI:32816	CHEBI:422;CHEBI:15846
MAR04388	1.1.1.27	Q6ZMR3	CHEBI:24636;CHEBI:16908;CHEBI:32816	CHEBI:422;CHEBI:15846
MAR04388	1.1.1.27	P00338	CHEBI:24636;CHEBI:16908;CHEBI:32816	CHEBI:422;CHEBI:15846
MAR04388	1.1.1.27	Q9BYZ2	CHEBI:24636;CHEBI:16908;CHEBI:32816	CHEBI:422;CHEBI:15846
