RxnID	EC_Code	Uniprot	kegg.compound_Substrate	kegg.compound_Product
MAR03905	1.1.1.1	P00325	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	Q8IWW8	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	P28332	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	P40394	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	P07327	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	P08319	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	P00326	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	P11766	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.1	Q8N4Q0	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	P00325	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	Q8IWW8	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	P28332	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	P40394	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	P07327	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	P08319	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	P00326	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	P11766	C00469;C00003	C00084;C00080;C00004
MAR03905	1.1.1.71	Q8N4Q0	C00469;C00003	C00084;C00080;C00004
MAR03907	1.1.1.2	P14550	C00469;C00006	C00084;C00080;C00005
MAR04097	6.2.1.1	Q9NR19	C00033;C00002;C00010	C00024;C00020;C00013
MAR04099	6.2.1.1	Q9H6R3	C00033;C00002;C00010	C00024;C00020;C00013
MAR04099	6.2.1.1	Q9NUB1	C00033;C00002;C00010	C00024;C00020;C00013
MAR04108	6.2.1.1	Q9NR19	C05993;C00010	C00024;C00020;C00080
MAR04133	6.2.1.1	Q9NR19	C00033;C00002;C00080	C05993;C00013
MAR04281	1.1.1.27	P00338	C00080;C00004;C00022	C00186;C00003
MAR04281	1.1.1.27	P07195	C00080;C00004;C00022	C00186;C00003
MAR04388	1.1.1.27	P00338	C00080;C00004;C00022	C00186;C00003
MAR04388	1.1.1.27	Q6ZMR3	C00080;C00004;C00022	C00186;C00003
MAR04388	1.1.1.27	Q9BYZ2	C00080;C00004;C00022	C00186;C00003
MAR04388	1.1.1.27	P07864	C00080;C00004;C00022	C00186;C00003
MAR04388	1.1.1.27	P07195	C00080;C00004;C00022	C00186;C00003
MAR04283	1.2.1.5	P48448	C00084;C00001;C00006	C00033;C00080;C00005
MAR04283	1.2.1.5	P43353	C00084;C00001;C00006	C00033;C00080;C00005
MAR04283	1.2.1.5	P30838	C00084;C00001;C00006	C00033;C00080;C00005
MAR04283	1.2.1.5	P47895	C00084;C00001;C00006	C00033;C00080;C00005
MAR08357	1.2.1.3	P49189	C00084;C00001;C00003	C00033;C00080;C00004
MAR08357	1.2.1.3	P05091	C00084;C00001;C00003	C00033;C00080;C00004
MAR08357	1.2.1.3	P51648	C00084;C00001;C00003	C00033;C00080;C00004
MAR08357	1.2.1.3	P30837	C00084;C00001;C00003	C00033;C00080;C00004
MAR08357	1.2.1.3	P49419	C00084;C00001;C00003	C00033;C00080;C00004
MAR04379	2.7.1.11	P08237	C00002;C00085	C00008;C00354;C00080
MAR04379	2.7.1.11	Q01813	C00002;C00085	C00008;C00354;C00080
MAR04379	2.7.1.11	P17858	C00002;C00085	C00008;C00354;C00080
MAR04301	2.7.1.11	P08237	C00085;C00075	C00354;C00080;C00015
MAR04301	2.7.1.11	Q01813	C00085;C00075	C00354;C00080;C00015
MAR04301	2.7.1.11	P17858	C00085;C00075	C00354;C00080;C00015
MAR04355	4.1.2.13	P05062	C00111;C00279	C00447
MAR04355	4.1.2.13	P09972	C00111;C00279	C00447
MAR04358	2.7.1.40	P30613	C00008;C00080;C00074	C00002;C00022
MAR04358	2.7.1.40	P14618	C00008;C00080;C00074	C00002;C00022
MAR04360	1.2.1.49	Q8N4Q0	C00001;C00546;C00006	C00080;C00005;C00022
MAR04363	4.2.1.11	P13929	C00631	C00001;C00074
MAR04363	4.2.1.11	P09104	C00631	C00001;C00074
MAR04363	4.2.1.11	P06733	C00631	C00001;C00074
MAR04365	5.4.2.11	P15259	C00631	C00197
MAR04365	5.4.2.11	Q8N0Y7	C00631	C00197
MAR04365	5.4.2.11	P07738	C00631	C00197
MAR04365	5.4.2.11	P18669	C00631	C00197
MAR04368	2.7.2.3	P07205	C00236;C00008	C00197;C00002
