rxn,KEGG_rxn_id,ec-code,genes,substrates,products,direction
PFK,,2.7.1.11,b1723;b3916,atp_c(1.0);f6p_c(1.0),adp_c(1.0);fdp_c(1.0);h_c(1.0),forward
PFL,R00212,2.3.1.54,b0903;b3114,coa_c(1.0);pyr_c(1.0),accoa_c(1.0);for_c(1.0),forward
PGI,,5.3.1.9,b4025,g6p_c(1.0),f6p_c(1.0),forward
PGI,,5.3.1.9,b4025,f6p_c(1.0),g6p_c(1.0),reverse
PGK,R01512,2.7.2.3,b2926,3pg_c(1.0);atp_c(1.0),13dpg_c(1.0);adp_c(1.0),forward
PGK,R01512,2.7.2.3,b2926,13dpg_c(1.0);adp_c(1.0),3pg_c(1.0);atp_c(1.0),reverse
PGL,R02035,3.1.1.31,b0767,6pgl_c(1.0);h2o_c(1.0),6pgc_c(1.0);h_c(1.0),forward
ACALD,R00228,1.2.1.10,b0351;b1241,acald_c(1.0);coa_c(1.0);nad_c(1.0),accoa_c(1.0);h_c(1.0);nadh_c(1.0),forward
ACALD,R00228,1.2.1.10,b0351;b1241,accoa_c(1.0);h_c(1.0);nadh_c(1.0),acald_c(1.0);coa_c(1.0);nad_c(1.0),reverse
AKGt2r,,,,akg_e(1.0);h_e(1.0),akg_c(1.0);h_c(1.0),forward
AKGt2r,,,,akg_c(1.0);h_c(1.0),akg_e(1.0);h_e(1.0),reverse
PGM,R01518,5.4.2.1;5.4.2.11;5.4.2.12,b0755;b4395;b3612,2pg_c(1.0),3pg_c(1.0),forward
PGM,R01518,5.4.2.1;5.4.2.11;5.4.2.12,b0755;b4395;b3612,3pg_c(1.0),2pg_c(1.0),reverse
PIt2r,,,,h_e(1.0);pi_e(1.0),h_c(1.0);pi_c(1.0),forward
PIt2r,,,,h_c(1.0);pi_c(1.0),h_e(1.0);pi_e(1.0),reverse
ALCD2x,R00754,1.1.1.71;1.1.1.1,b0356;b1241;b1478;b3589,etoh_c(1.0);nad_c(1.0),acald_c(1.0);h_c(1.0);nadh_c(1.0),forward
ALCD2x,R00754,1.1.1.71;1.1.1.1,b0356;b1241;b1478;b3589,acald_c(1.0);h_c(1.0);nadh_c(1.0),etoh_c(1.0);nad_c(1.0),reverse
ACALDt,,,,acald_e(1.0),acald_c(1.0),forward
ACALDt,,,,acald_c(1.0),acald_e(1.0),reverse
ACKr,R00315,2.7.2.15;2.7.2.1,b3115;b2296,ac_c(1.0);atp_c(1.0),actp_c(1.0);adp_c(1.0),forward
ACKr,R00315,2.7.2.15;2.7.2.1,b3115;b2296,actp_c(1.0);adp_c(1.0),ac_c(1.0);atp_c(1.0),reverse
PPC,R00345,4.1.1.31,b3956,co2_c(1.0);h2o_c(1.0);pep_c(1.0),h_c(1.0);oaa_c(1.0);pi_c(1.0),forward
ACONTa,R01325,4.2.1.3,b0118;b1276,cit_c(1.0),acon_C_c(1.0);h2o_c(1.0),forward
ACONTa,R01325,4.2.1.3,b0118;b1276,acon_C_c(1.0);h2o_c(1.0),cit_c(1.0),reverse
ACONTb,R01900,4.2.1.3,b0118;b1276,acon_C_c(1.0);h2o_c(1.0),icit_c(1.0),forward
ACONTb,R01900,4.2.1.3,b0118;b1276,icit_c(1.0),acon_C_c(1.0);h2o_c(1.0),reverse
ATPM,R00086,3.6.1.5;3.6.3.34;3.6.3.20;3.6.3.53;3.6.3.8;3.6.3.32;3.6.4.12;3.6.3.48;3.6.3.40;3.6.3.9;3.6.3.23;3.6.3.22;3.6.3.54;3.6.3.1;3.6.1.8;3.6.3.29;3.6.3.17;3.6.3.50;3.6.3.39;3.6.3.19;3.6.3.4;3.6.3.35;3.6.3.16;3.6.4.4;3.6.3.37;3.6.4.8;3.6.3.31;3.6.3.6;3.6.4.5;3.6.3.52;3.6.3.2;3.6.3.14;3.6.3.51;3.6.3.25;3.6.3.38;3.6.3.33;3.6.3.43;3.6.4.10;3.6.4.13;3.6.3.3;3.6.3.10;3.6.3.24;3.6.3.44;3.6.3.15;3.6.3.5;3.6.1.3;3.6.1.15;3.6.4.2;3.6.4.3;3.6.3.42;3.6.3.11;3.6.3.28;3.6.3.30;3.6.4.1;3.6.4.11;3.6.3.47;3.6.4.6;3.6.3.36;3.6.3.21;3.6.3.12;3.6.3.18;3.6.3.26;3.6.3.27;3.6.3.7;3.6.4.9;3.6.4.7;3.6.3.46;3.6.3.41;3.6.3.49,,atp_c(1.0);h2o_c(1.0),adp_c(1.0);h_c(1.0);pi_c(1.0),forward
PPCK,R00341,4.1.1.49,b3403,atp_c(1.0);oaa_c(1.0),adp_c(1.0);co2_c(1.0);pep_c(1.0),forward
ACt2r,,,,ac_e(1.0);h_e(1.0),ac_c(1.0);h_c(1.0),forward
ACt2r,,,,ac_c(1.0);h_c(1.0),ac_e(1.0);h_e(1.0),reverse
PPS,R00199,2.7.9.2,b1702,atp_c(1.0);h2o_c(1.0);pyr_c(1.0),amp_c(1.0);h_c(2.0);pep_c(1.0);pi_c(1.0),forward
ADK1,R00127,2.7.4.3,b0474,amp_c(1.0);atp_c(1.0),adp_c(2.0),forward
ADK1,R00127,2.7.4.3,b0474,adp_c(2.0),amp_c(1.0);atp_c(1.0),reverse
AKGDH,R08549,1.2.1.52;2.3.1.61;1.8.1.4;1.2.4.2,b0727;b0116;b0726,akg_c(1.0);coa_c(1.0);nad_c(1.0),co2_c(1.0);nadh_c(1.0);succoa_c(1.0),forward
ATPS4r,,3.6.3.14,,adp_c(1.0);h_e(4.0);pi_c(1.0),atp_c(1.0);h2o_c(1.0);h_c(3.0),forward
ATPS4r,,3.6.3.14,,atp_c(1.0);h2o_c(1.0);h_c(3.0),adp_c(1.0);h_e(4.0);pi_c(1.0),reverse
PTAr,R00230,2.3.1.8,b2297,accoa_c(1.0);pi_c(1.0),actp_c(1.0);coa_c(1.0),forward
PTAr,R00230,2.3.1.8,b2297,actp_c(1.0);coa_c(1.0),accoa_c(1.0);pi_c(1.0),reverse
PYK,R00200,2.7.1.40,b1676;b1854,adp_c(1.0);h_c(1.0);pep_c(1.0),atp_c(1.0);pyr_c(1.0),forward
BIOMASS_Ecoli_core_w_GAM,,,,3pg_c(1.496);accoa_c(3.7478);atp_c(59.81);e4p_c(0.361);f6p_c(0.0709);g3p_c(0.129);g6p_c(0.205);gln__L_c(0.2557);glu__L_c(4.9414);h2o_c(59.81);nad_c(3.547);nadph_c(13.0279);oaa_c(1.7867);pep_c(0.5191);pyr_c(2.8328);r5p_c(0.8977),adp_c(59.81);akg_c(4.1182);coa_c(3.7478);h_c(59.81);nadh_c(3.547);nadp_c(13.0279);pi_c(59.81),forward
PYRt2,,,,h_e(1.0);pyr_e(1.0),h_c(1.0);pyr_c(1.0),forward
PYRt2,,,,h_c(1.0);pyr_c(1.0),h_e(1.0);pyr_e(1.0),reverse
CO2t,,,,co2_e(1.0),co2_c(1.0),forward
CO2t,,,,co2_c(1.0),co2_e(1.0),reverse
RPE,R01529,5.1.3.1,b3386,ru5p__D_c(1.0),xu5p__D_c(1.0),forward
RPE,R01529,5.1.3.1,b3386,xu5p__D_c(1.0),ru5p__D_c(1.0),reverse
