kegg_id	smiles
C03044	C[C@H]([C@@H](C)O)O
C00003	C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
C00810	C[C@H](C(=O)C)O
C00080	[H+]
C04896	C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N/C=N/[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)C(=O)N
C04322	C1CC(N=C1)C(=O)O
C00001	O
C18910	C([C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)NC1=C(C(=O)NC(=N1)N)N
C01304	C([C@@H]1[C@H]([C@H]([C@@H](O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)(O)O
C00109	CCC(=O)C(=O)O
C00022	CC(=O)C(=O)O
C01300	C1C(=NC2=C(N1)N=C(NC2=O)N)CO
C00002	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
C00322	C(CC(=O)C(=O)O)CC(=O)O
C00025	C(CC(=O)O)[C@@H](C(=O)O)N
C00026	C(CC(=O)O)C(=O)C(=O)O
C00956	C(C[C@@H](C(=O)O)N)CC(=O)O
C00966	CC(C)(CO)C(=O)C(=O)O
C00279	C([C@H]([C@H](C=O)O)O)OP(=O)(O)O
C00074	C=C(C(=O)O)OP(=O)(O)O
C02631	CC(C)/C(=C/C(=O)O)/C(=O)O
C02504	CC(C)[C@@](CC(=O)O)(C(=O)O)O
C00141	CC(C)C(=O)C(=O)O
C01251	C(C[C@@](CC(=O)O)(C(=O)O)O)C(=O)O
C04002	C(CC(=O)O)/C(=C/C(=O)O)/C(=O)O
C00036	C(C(=O)C(=O)O)C(=O)O
C00100	CCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
C00054	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N
C00575	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O
C00968	C1[C@H]2[C@@H](COP(=O)(O2)O)O[C@H]1N3C=NC4=C(N=CN=C43)N
C00943	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CNC4=O)O)OP(=O)(O1)O
C00942	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)O
C00941	C1[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)OP(=O)(O1)O
C00199	C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O
C00944	C1[C@H]([C@@H](C(=O)C[C@]1(C(=O)O)O)O)O
C04691	C([C@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)C(=O)C(=O)O
C02934	CCCCCCCCCCCCCCCC(=O)[C@H](CO)N
C03227	C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N
