rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	uniprot_model	kcat	matching_score	catalytic_enzyme	kcat_substrate	kcat_organism	kcat_enzyme	kcat_temperature	kcat_ph	kcat_variant	kcat_db	kcat_id_percent
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL174C;YEL039C	P00045;P32891	2.6	7	P32891	(R)-lactate	Oryza sativa Indica Group		25.0	8.35		brenda	-1.0
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL174C;YJR048W	P00044;P32891	2.6	7	P32891	(R)-lactate	Oryza sativa Indica Group		25.0	8.35		brenda	-1.0
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YEL039C;YEL071W	P39976;P00045	2.6	7	P39976	(R)-lactate	Oryza sativa Indica Group		25.0	8.35		brenda	-1.0
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YEL071W;YJR048W	P39976;P00044	2.6	7	P39976	(R)-lactate	Oryza sativa Indica Group		25.0	8.35		brenda	-1.0
r_0002	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL178W;YEL039C	P46681;P00045	2.6	7	P46681	(R)-lactate	Oryza sativa Indica Group		25.0	8.35		brenda	-1.0
r_0002	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL178W;YJR048W	P46681;P00044	2.6	7	P46681	(R)-lactate	Oryza sativa Indica Group		25.0	8.35		brenda	-1.0
r_0003	R02946	1.1.1.4	forward	(R,R)-2,3-butanediol;NAD	C03044;C00003	(R)-acetoin;H+;NADH	C00810;C00080;C00004	YAL060W	P39714	7.39	6	P39714	glycolaldehyde	Saccharomyces cerevisiae	A0A7G4NVP1	30.0	7.0		brenda	97.42
r_0003	R02946	1.1.1.4	reverse	(R)-acetoin;H+;NADH	C00810;C00080;C00004	(R,R)-2,3-butanediol;NAD	C03044;C00003	YAL060W	P39714	150	4	P39714	(R)-acetoin	Clostridium autoethanogenum	F8TEL7	25.0	7.5	wildtype	brenda	33.39
r_0004	R00196	1.1.2.3	forward	(S)-lactate;ferricytochrome c	C00186;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YEL039C;YML054C	P00045;P00175	270	0	P00175	(S)-lactate	Saccharomyces cerevisiae	P00175	30.0	7.0	wildtype	brenda	100.0
r_0004	R00196	1.1.2.3	forward	(S)-lactate;ferricytochrome c	C00186;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YJR048W;YML054C	P00044;P00175	270	0	P00175	(S)-lactate	Saccharomyces cerevisiae	P00175	30.0	7.0	wildtype	brenda	100.0
r_0005	R03118	2.4.1.34	forward	UDP-D-glucose	C00029	(1->3)-beta-D-glucan;H+;UDP	C00965;C00080;C00015	YPR165W;YLR342W	P38631;P06780	0.55	9	P38631	UDPglucose	Staphylococcus aureus				wildtype	brenda	-1.0
r_0005	R03118	2.4.1.34	forward	UDP-D-glucose	C00029	(1->3)-beta-D-glucan;H+;UDP	C00965;C00080;C00015	YPR165W;YGR032W	P40989;P06780	0.55	9	P40989	UDPglucose	Staphylococcus aureus				wildtype	brenda	-1.0
r_0005	R03118	2.4.1.34	forward	UDP-D-glucose	C00029	(1->3)-beta-D-glucan;H+;UDP	C00965;C00080;C00015	YPR165W;YMR306W	P06780;Q04952	0.55	9	Q04952	UDPglucose	Staphylococcus aureus				wildtype	brenda	-1.0
r_0007	R04640	5.3.1.16	forward	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide	C04896	5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C04916	YIL020C	P40545	0.67	7	P40545	N'-[(5'-phosphoribosyl)formimino]-5-aminoimidazole-4-carboxamide ribonucleotide	Thermotoga maritima		25	7.5	wildtype	brenda	-1.0
r_0012	R00707	1.2.1.88	forward	1-pyrroline-5-carboxylate;H2O;NAD	C04322;C00001;C00003	H+;L-glutamate;NADH	C00080;C00025;C00004	YHR037W	P07275	1.5	1	P07275	1-pyrroline-5-carboxylate	Saccharomyces cerevisiae	P07275	20.0	7.5		brenda	100.0
r_0013		1.13.11.54	forward	5-(methylsulfanyl)-2,3-dioxopentyl phosphate;H2O	C15650;C00001	4-methylthio-2-oxobutanoate;formate;H+;phosphate	C01180;C00058;C00080;C00009	YEL038W;YMR009W	P32626;Q03677	111.7	8	Q03677	(1Z)-1,2-dihydroxyhex-1-en-3-one	Mus musculus	Q99JT9	25.0	7.0		brenda	33.09
r_0013		3.1.3.77	forward	5-(methylsulfanyl)-2,3-dioxopentyl phosphate;H2O	C15650;C00001	4-methylthio-2-oxobutanoate;formate;H+;phosphate	C01180;C00058;C00080;C00009	YEL038W;YMR009W	P32626;Q03677		15									
r_0014	R09377	3.5.4.26	forward	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone;H+;H2O	C18910;C00080;C00001	5-amino-6-(5-phosphoribitylamino)uracil;ammonium	C04454;C01342	YOL066C	Q12362		15									
r_0014	R09377	5.4.99.28	forward	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone;H+;H2O	C18910;C00080;C00001	5-amino-6-(5-phosphoribitylamino)uracil;ammonium	C04454;C01342	YOL066C	Q12362	0.099	7	Q12362	tRNA uridine32	Escherichia coli	P0AA37	37	7.5	wildtype	brenda	18.94
r_0015	R09376	1.1.1.302	forward	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine;H+;NADPH	C01304;C00080;C00005	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone;NADP(+)	C18910;C00006	YBR153W	P33312		15									
r_0016	R08648	2.2.1.6	forward	2-oxobutanoate;H+;pyruvate	C00109;C00080;C00022	(S)-2-acetyl-2-hydroxybutanoate;carbon dioxide	C06006;C00011	YCL009C;YMR108W	P07342;P25605	3.196	4	P07342	pyruvate	Mycobacterium tuberculosis	P9WG41	37.0	7.5	wildtype	brenda	33.57
r_0016	R08648	2.2.1.6	forward	2-oxobutanoate;H+;pyruvate	C00109;C00080;C00022	(S)-2-acetyl-2-hydroxybutanoate;carbon dioxide	C06006;C00011	YMR108W	P07342	3.196	4	P07342	pyruvate	Mycobacterium tuberculosis	P9WG41	37.0	7.5	wildtype	brenda	33.57
r_0017	R03503	2.5.1.15	forward	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol;ATP	C01300;C00002	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate;AMP;H+	C04807;C00020;C00080	YNL256W	P53848	0.015	9	P53848	4-Aminobenzoate	Plasmodium falciparum	Q25704	37.0	9.0	wildtype	brenda	24.59
r_0017	R03503	2.7.6.3	forward	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol;ATP	C01300;C00002	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate;AMP;H+	C04807;C00020;C00080	YNL256W	P53848	0.17	10	P53848	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	Francisella tularensis	Q5NGA7	30	8.3		brenda	21.94
r_0017	R03503	4.1.2.25	forward	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol;ATP	C01300;C00002	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate;AMP;H+	C04807;C00020;C00080	YNL256W	P53848	0.07	7	P53848	7,8-dihydroneopterin	Methanocaldococcus jannaschii		25.0	7.6	wildtype	brenda	-1.0
r_0018	R01939	2.6.1.39	forward	2-oxoadipic acid;L-glutamate	C00322;C00025	2-oxoglutarate;L-2-aminoadipate	C00026;C00956	YER152C	P10356	12.8	4	P10356	L-glutamate	Saccharomyces cerevisiae			7.0		brenda	-1.0
