rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	uniprot_model
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL174C;YEL039C	P32891;P00045
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL174C;YJR048W	P32891;P00044
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YEL039C;YEL071W	P39976;P00045
r_0001	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YEL071W;YJR048W	P39976;P00044
r_0002	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL178W;YEL039C	P46681;P00045
r_0002	R00197	1.1.2.4	forward	(R)-lactate;ferricytochrome c	C00256;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YDL178W;YJR048W	P46681;P00044
r_0003	R02946	1.1.1.4	forward	(R,R)-2,3-butanediol;NAD	C03044;C00003	(R)-acetoin;H+;NADH	C00810;C00080;C00004	YAL060W	P39714
r_0003	R02946	1.1.1.4	reverse	(R)-acetoin;H+;NADH	C00810;C00080;C00004	(R,R)-2,3-butanediol;NAD	C03044;C00003	YAL060W	P39714
r_0004	R00196	1.1.2.3	forward	(S)-lactate;ferricytochrome c	C00186;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YEL039C;YML054C	P00045;P00175
r_0004	R00196	1.1.2.3	forward	(S)-lactate;ferricytochrome c	C00186;C00125	ferrocytochrome c;pyruvate	C00126;C00022	YJR048W;YML054C	P00044;P00175
r_0005	R03118	2.4.1.34	forward	UDP-D-glucose	C00029	(1->3)-beta-D-glucan;H+;UDP	C00965;C00080;C00015	YPR165W;YLR342W	P38631;P06780
r_0005	R03118	2.4.1.34	forward	UDP-D-glucose	C00029	(1->3)-beta-D-glucan;H+;UDP	C00965;C00080;C00015	YPR165W;YGR032W	P40989;P06780
r_0005	R03118	2.4.1.34	forward	UDP-D-glucose	C00029	(1->3)-beta-D-glucan;H+;UDP	C00965;C00080;C00015	YPR165W;YMR306W	P06780;Q04952
r_0007	R04640	5.3.1.16	forward	1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide	C04896	5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	C04916	YIL020C	P40545
r_0012	R00707	1.2.1.88	forward	1-pyrroline-5-carboxylate;H2O;NAD	C04322;C00001;C00003	H+;L-glutamate;NADH	C00080;C00025;C00004	YHR037W	P07275
r_0013		1.13.11.54	forward	5-(methylsulfanyl)-2,3-dioxopentyl phosphate;H2O	C15650;C00001	4-methylthio-2-oxobutanoate;formate;H+;phosphate	C01180;C00058;C00080;C00009	YEL038W;YMR009W	Q03677;P32626
r_0013		3.1.3.77	forward	5-(methylsulfanyl)-2,3-dioxopentyl phosphate;H2O	C15650;C00001	4-methylthio-2-oxobutanoate;formate;H+;phosphate	C01180;C00058;C00080;C00009	YEL038W;YMR009W	Q03677;P32626
r_0014	R09377	3.5.4.26	forward	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone;H+;H2O	C18910;C00080;C00001	5-amino-6-(5-phosphoribitylamino)uracil;ammonium	C04454;C01342	YOL066C	Q12362
