rxn	KEGG_rxn_id	ec_code	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes_model	uniprot_model
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000147576	Q8IWW8
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000172955	P28332
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000180011	Q8N4Q0
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000187758	P07327
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000196344	P40394
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000196616	P00325
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000197894	P11766
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000198099	P08319
MAR03905	R00754	1.1.1.1	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000248144	P00326
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000147576	Q8IWW8
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000172955	P28332
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000180011	Q8N4Q0
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000187758	P07327
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000196344	P40394
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000196616	P00325
MAR03905	R00754	1.1.1.71	forward	ethanol;NAD+	C00469;C00003	acetaldehyde;H+;NADH	C00084;C00080;C00004	ENSG00000197894	P11766
